index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,roofline_tflops,roofline_percent,ok
32,resnet,conv_2d_nhwc_hwcf_4x7x7x512x3x3x512_f16xf16xf32_stride1,4,7,7,512,3,3,512,1,f16,f32,127.0,169.6409,7.2822,1307.4,0.0056,True
33,resnet,conv_2d_nhwc_hwcf_8x112x112x64x7x7x3_f16xf16xf32_stride2,8,112,112,64,7,7,3,2,f16,f32,224.0,34.088,8.4296,1307.4,0.0064,True
34,resnet,conv_2d_nhwc_hwcf_8x56x56x64x3x3x64_f16xf16xf32_stride1,8,56,56,64,3,3,64,1,f16,f32,78.0,186.0667,23.7139,1307.4,0.0181,True
35,resnet,conv_2d_nhwc_hwcf_8x28x28x128x3x3x128_f16xf16xf32_stride2,8,28,28,128,3,3,128,2,f16,f32,75.0,177.9291,24.6625,1307.4,0.0189,True
36,resnet,conv_2d_nhwc_hwcf_8x28x28x512x1x1x256_f16xf16xf32_stride2,8,28,28,512,1,1,256,2,f16,f32,68.0,50.7854,24.1789,1307.4,0.0185,True
37,resnet,conv_2d_nhwc_hwcf_8x28x28x128x3x3x128_f16xf16xf32_stride1,8,28,28,128,3,3,128,1,f16,f32,82.0,345.7764,22.5572,1307.4,0.0173,True
38,resnet,conv_2d_nhwc_hwcf_8x14x14x256x3x3x256_f16xf16xf32_stride2,8,14,14,256,3,3,256,2,f16,f32,98.0,285.8127,18.8744,1307.4,0.0144,True
39,resnet,conv_2d_nhwc_hwcf_8x14x14x1024x1x1x512_f16xf16xf32_stride2,8,14,14,1024,1,1,512,2,f16,f32,72.0,96.1226,22.8357,1307.4,0.0175,True
40,resnet,conv_2d_nhwc_hwcf_8x14x14x256x3x3x256_f16xf16xf32_stride1,8,14,14,256,3,3,256,1,f16,f32,99.0,482.4615,18.6837,1307.4,0.0143,True
41,resnet,conv_2d_nhwc_hwcf_8x7x7x512x3x3x512_f16xf16xf32_stride2,8,7,7,512,3,3,512,2,f16,f32,121.0,242.7871,15.2867,1307.4,0.0117,True
42,resnet,conv_2d_nhwc_hwcf_8x7x7x2048x1x1x1024_f16xf16xf32_stride2,8,7,7,2048,1,1,1024,2,f16,f32,88.0,134.5201,18.6837,1307.4,0.0143,True
43,resnet,conv_2d_nhwc_hwcf_8x7x7x512x3x3x512_f16xf16xf32_stride1,8,7,7,512,3,3,512,1,f16,f32,131.0,299.0623,14.1198,1307.4,0.0108,True
44,resnet,conv_2d_nchw_fchw_1x112x112x64x7x7x3_f16xf16xf32_stride2,1,112,112,64,7,7,3,2,f16,f32,236.0,34.0071,1.0001,1307.4,0.0008,True
45,resnet,conv_2d_nchw_fchw_1x56x56x64x3x3x64_f16xf16xf32_stride1,1,56,56,64,3,3,64,1,f16,f32,76.0,176.8837,3.0423,1307.4,0.0023,True
46,resnet,conv_2d_nchw_fchw_1x28x28x128x3x3x128_f16xf16xf32_stride2,1,28,28,128,3,3,128,2,f16,f32,80.0,148.4497,2.8901,1307.4,0.0022,True
47,resnet,conv_2d_nchw_fchw_1x28x28x512x1x1x256_f16xf16xf32_stride2,1,28,28,512,1,1,256,2,f16,f32,65.0,48.0613,3.1619,1307.4,0.0024,True
48,resnet,conv_2d_nchw_fchw_1x28x28x128x3x3x128_f16xf16xf32_stride1,1,28,28,128,3,3,128,1,f16,f32,75.0,249.4939,3.0828,1307.4,0.0024,True
49,resnet,conv_2d_nchw_fchw_1x14x14x256x3x3x256_f16xf16xf32_stride2,1,14,14,256,3,3,256,2,f16,f32,90.0,125.5795,2.569,1307.4,0.002,True
50,resnet,conv_2d_nchw_fchw_1x14x14x1024x1x1x512_f16xf16xf32_stride2,1,14,14,1024,1,1,512,2,f16,f32,70.0,67.2601,2.936,1307.4,0.0022,True
51,resnet,conv_2d_nchw_fchw_1x14x14x256x3x3x256_f16xf16xf32_stride1,1,14,14,256,3,3,256,1,f16,f32,85.0,152.9756,2.7201,1307.4,0.0021,True
52,resnet,conv_2d_nchw_fchw_1x7x7x512x3x3x512_f16xf16xf32_stride2,1,7,7,512,3,3,512,2,f16,f32,102.0,45.5042,2.2668,1307.4,0.0017,True
53,resnet,conv_2d_nchw_fchw_1x7x7x2048x1x1x1024_f16xf16xf32_stride2,1,7,7,2048,1,1,1024,2,f16,f32,74.0,39.5398,2.7773,1307.4,0.0021,True
54,resnet,conv_2d_nchw_fchw_1x7x7x512x3x3x512_f16xf16xf32_stride1,1,7,7,512,3,3,512,1,f16,f32,105.0,47.1677,2.202,1307.4,0.0017,True
55,resnet,conv_2d_nchw_fchw_2x112x112x64x7x7x3_f16xf16xf32_stride2,2,112,112,64,7,7,3,2,f16,f32,246.0,34.0533,1.9189,1307.4,0.0015,True
56,resnet,conv_2d_nchw_fchw_2x56x56x64x3x3x64_f16xf16xf32_stride1,2,56,56,64,3,3,64,1,f16,f32,87.0,182.0169,5.3152,1307.4,0.0041,True
57,resnet,conv_2d_nchw_fchw_2x28x28x128x3x3x128_f16xf16xf32_stride2,2,28,28,128,3,3,128,2,f16,f32,84.0,163.9739,5.505,1307.4,0.0042,True
58,resnet,conv_2d_nchw_fchw_2x28x28x512x1x1x256_f16xf16xf32_stride2,2,28,28,512,1,1,256,2,f16,f32,71.0,49.581,5.7893,1307.4,0.0044,True
59,resnet,conv_2d_nchw_fchw_2x28x28x128x3x3x128_f16xf16xf32_stride1,2,28,28,128,3,3,128,1,f16,f32,86.0,296.7043,5.377,1307.4,0.0041,True
60,resnet,conv_2d_nchw_fchw_2x14x14x256x3x3x256_f16xf16xf32_stride2,2,14,14,256,3,3,256,2,f16,f32,107.0,184.7725,4.3217,1307.4,0.0033,True
61,resnet,conv_2d_nchw_fchw_2x14x14x1024x1x1x512_f16xf16xf32_stride2,2,14,14,1024,1,1,512,2,f16,f32,76.0,81.1909,5.4084,1307.4,0.0041,True
62,resnet,conv_2d_nchw_fchw_2x14x14x256x3x3x256_f16xf16xf32_stride1,2,14,14,256,3,3,256,1,f16,f32,114.0,250.88,4.0563,1307.4,0.0031,True
63,resnet,conv_2d_nchw_fchw_2x7x7x512x3x3x512_f16xf16xf32_stride2,2,7,7,512,3,3,512,2,f16,f32,111.0,84.9481,4.166,1307.4,0.0032,True
64,resnet,conv_2d_nchw_fchw_2x7x7x2048x1x1x1024_f16xf16xf32_stride2,2,7,7,2048,1,1,1024,2,f16,f32,68.0,66.2827,6.0447,1307.4,0.0046,True
65,resnet,conv_2d_nchw_fchw_2x7x7x512x3x3x512_f16xf16xf32_stride1,2,7,7,512,3,3,512,1,f16,f32,104.0,90.9352,4.4464,1307.4,0.0034,True
66,resnet,conv_2d_nchw_fchw_4x112x112x64x7x7x3_f16xf16xf32_stride2,4,112,112,64,7,7,3,2,f16,f32,246.0,34.0764,3.8379,1307.4,0.0029,True
67,resnet,conv_2d_nchw_fchw_4x56x56x64x3x3x64_f16xf16xf32_stride1,4,56,56,64,3,3,64,1,f16,f32,94.0,184.6969,9.8388,1307.4,0.0075,True
