index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
36,llama13bskinny,gemm_7680_8_5120_f16_f32_tB,9178783e66d63ea544713e61ec98c6eb,7680,8,5120,f16,N,T,,98.0,7.9792,6.4199,True
37,llama13bskinny,gemm_7680_16_5120_f16_f32_tB,324804f8b73259daf575d0c4dee2d219,7680,16,5120,f16,N,T,,69.0,15.9171,18.2361,True
38,llama13bskinny,gemm_7680_32_5120_f16_f32_tB,3e61161c83f2ffb83a5284e33762b1c8,7680,32,5120,f16,N,T,,78.0,31.6701,32.2639,True
39,llama13bskinny,gemm_5120_2_2560_f16_f32_tB,784fd1498a0afe42a31f00a862709d87,5120,2,2560,f16,N,T,,188.0,1.9977,0.2789,True
40,llama13bskinny,gemm_5120_4_2560_f16_f32_tB,22653d320235ce67f04de7e6d28887b3,5120,4,2560,f16,N,T,,358.0,3.9906,0.2929,True
41,llama13bskinny,gemm_5120_8_2560_f16_f32_tB,343f8eded1bf38f6d18c05824e1878b0,5120,8,2560,f16,N,T,,66.0,7.9627,3.1775,True
42,llama13bskinny,gemm_5120_16_2560_f16_f32_tB,2399e2649bba614b0e895f18a079a2e3,5120,16,2560,f16,N,T,,57.0,15.8514,7.3584,True
43,llama13bskinny,gemm_5120_32_2560_f16_f32_tB,b3be1df7caa6d09bdb3518d5f7fe9a1f,5120,32,2560,f16,N,T,,64.0,31.411,13.1072,True
44,llama13bskinny,gemm_13824_2_5120_f16_f32_tB,017f8a6c3fce066fb0e73ac60bdbe0cc,13824,2,5120,f16,N,T,,101.0,1.9989,2.8031,True
45,llama13bskinny,gemm_13824_4_5120_f16_f32_tB,992e016e5c5efeacfc19403ebba2aa43,13824,4,5120,f16,N,T,,154.0,3.9957,3.6768,True
46,llama13bskinny,gemm_13824_8_5120_f16_f32_tB,341ef616f6f587c011ac4b109265b845,13824,8,5120,f16,N,T,,90.0,7.9829,12.5829,True
47,llama13bskinny,gemm_13824_16_5120_f16_f32_tB,1e90a3a93b48055cea20edf213893988,13824,16,5120,f16,N,T,,67.0,15.9318,33.8048,True
48,llama13bskinny,gemm_13824_32_5120_f16_f32_tB,36f3b02c0ebdbbb5123976f26d1499d9,13824,32,5120,f16,N,T,,84.0,31.7283,53.9268,True
49,llama13bskinny,gemm_5120_2_6912_f16_f32_tB,f6029bdf85160591a443660a11844c22,5120,2,6912,f16,N,T,,83.0,1.9986,1.7055,True
50,llama13bskinny,gemm_5120_4_6912_f16_f32_tB,aacae3fc69a6be836930a42c3f7585c5,5120,4,6912,f16,N,T,,100.0,3.9946,2.8312,True
51,llama13bskinny,gemm_5120_8_6912_f16_f32_tB,e2384ac027c27f249e88892dad13e8e4,5120,8,6912,f16,N,T,,94.0,7.9783,6.0237,True
52,llama13bskinny,gemm_5120_16_6912_f16_f32_tB,a48e025f36a657b61a8a48dcb6a65897,5120,16,6912,f16,N,T,,85.0,15.9134,13.3231,True
53,llama13bskinny,gemm_5120_32_6912_f16_f32_tB,589f57dfd93412a54c490b6d94756ee9,5120,32,6912,f16,N,T,,84.0,31.6556,26.9634,True
54,llama13bskinny,gemm_8000_2_5120_f16_f32_tB,b984c7d8f5b9a5e096e9331ba67e894a,8000,2,5120,f16,N,T,,89.0,1.9987,1.8409,True
55,llama13bskinny,gemm_8000_4_5120_f16_f32_tB,06abc1c387b7d571b351ca7f44101615,8000,4,5120,f16,N,T,,104.0,3.9949,3.1508,True
56,llama13bskinny,gemm_8000_8_5120_f16_f32_tB,c32e56f069cbd3b139d2f9bd76c97fa6,8000,8,5120,f16,N,T,,91.0,7.9796,7.2018,True
57,llama13bskinny,gemm_8000_16_5120_f16_f32_tB,86314a6a92d3ab3be4bebf4b4406ebcb,8000,16,5120,f16,N,T,,79.0,15.9184,16.5914,True
58,llama13bskinny,gemm_8000_32_5120_f16_f32_tB,027ed236a5033427582aabc1fc17ede7,8000,32,5120,f16,N,T,,82.0,31.6753,31.9688,True
59,llama13bskinny,gemm_3840_2_5120_f16_f32_tB,99520e741cb273b723f7481e3fc4cd93,3840,2,5120,f16,N,T,,87.0,1.9982,0.9039,True
60,llama13bskinny,gemm_3840_4_5120_f16_f32_tB,79031264e81dc99fdb055f15aa92d7f0,3840,4,5120,f16,N,T,,90.0,3.9927,1.7476,True
61,llama13bskinny,gemm_3840_8_5120_f16_f32_tB,1f91b6326730ce2b21b8730048cdb51c,3840,8,5120,f16,N,T,,92.0,7.9709,3.4193,True
62,llama13bskinny,gemm_3840_16_5120_f16_f32_tB,bb33653d3703b94b240f716d44ee41c4,3840,16,5120,f16,N,T,,74.0,15.8842,8.502,True
63,llama13bskinny,gemm_3840_32_5120_f16_f32_tB,13ab04744b54ea2fbda2dbcac2b062bd,3840,32,5120,f16,N,T,,75.0,31.54,16.7772,True
64,llama13bskinny,gemm_5120_2_1280_f16_f32_tB,58e76cb4157389da887ecf3bdda0349e,5120,2,1280,f16,N,T,,70.0,1.9961,0.3745,True
65,llama13bskinny,gemm_5120_4_1280_f16_f32_tB,c85c4f1933f68be94f5985819fc107e3,5120,4,1280,f16,N,T,,90.0,3.9844,0.5825,True
66,llama13bskinny,gemm_5120_8_1280_f16_f32_tB,8b254772b98fd92484b8e48b391e5e85,5120,8,1280,f16,N,T,,57.0,7.938,1.8396,True
67,llama13bskinny,gemm_5120_16_1280_f16_f32_tB,fe03e475a0ce9fa121f4664e86192cd8,5120,16,1280,f16,N,T,,59.0,15.7538,3.5545,True
68,llama13bskinny,gemm_5120_32_1280_f16_f32_tB,ad01bd61a423d07c0a009c9e21a21550,5120,32,1280,f16,N,T,,65.0,31.0303,6.4528,True
69,llama13bskinny,gemm_6912_2_5120_f16_f32_tB,25bb2c5ed558078338d019950b1ce2b3,6912,2,5120,f16,N,T,,95.0,1.9986,1.4901,True
70,llama13bskinny,gemm_6912_4_5120_f16_f32_tB,8410f82cdb6ee14a85a73e9d886f4c85,6912,4,5120,f16,N,T,,109.0,3.9946,2.5974,True
71,llama13bskinny,gemm_6912_8_5120_f16_f32_tB,e0a4969d5ff5d57b70bfed609f668e9c,6912,8,5120,f16,N,T,,90.0,7.9783,6.2915,True
72,llama13bskinny,gemm_6912_16_5120_f16_f32_tB,67c07677f03715172bbf51ac6aaeef67,6912,16,5120,f16,N,T,,77.0,15.9134,14.7073,True
73,llama13bskinny,gemm_6912_32_5120_f16_f32_tB,c80a00f33f23666d1a25d4808d814636,6912,32,5120,f16,N,T,,76.0,31.6556,29.8016,True
74,llama13bskinny,gemm_5120_2_3456_f16_f32_tB,106c71f8593911eeb576d6863d6d9b1f,5120,2,3456,f16,N,T,,68.0,1.9981,1.0409,True
75,llama13bskinny,gemm_5120_4_3456_f16_f32_tB,b33c07a25f35df800f97de646e1e8c5f,5120,4,3456,f16,N,T,,86.0,3.9923,1.646,True
76,llama13bskinny,gemm_5120_8_3456_f16_f32_tB,376e2201b8fbbf8fd7b0be5d662c5400,5120,8,3456,f16,N,T,,77.0,7.9691,3.6768,True
77,llama13bskinny,gemm_5120_16_3456_f16_f32_tB,2319ff852e77661bc0d67153dabf204d,5120,16,3456,f16,N,T,,63.0,15.8769,8.9878,True
