index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
68,llm,attention_48x16384x64x64x16384xf16,48,16384,64,64,16384,f16,7070.0,8192.0,466.5537,True
69,llm,attention_48x16384x128x128x16384xf16,48,16384,128,128,16384,f16,14000.0,8192.0,471.2193,True
70,llm,attention_64x1024x64x64x1024xf16,64,1024,64,64,1024,f16,106.0,512.0,162.0742,True
71,llm,attention_64x1024x128x128x1024xf16,64,1024,128,128,1024,f16,174.0,512.0,197.4698,True
72,llm,attention_64x2048x64x64x2048xf16,64,2048,64,64,2048,f16,214.0,1024.0,321.1191,True
73,llm,attention_64x2048x128x128x2048xf16,64,2048,128,128,2048,f16,372.0,1024.0,369.4596,True
74,llm,attention_64x4096x64x64x4096xf16,64,4096,64,64,4096,f16,676.0,2048.0,406.6241,True
75,llm,attention_64x4096x128x128x4096xf16,64,4096,128,128,4096,f16,1300.0,2048.0,422.8891,True
76,llm,attention_64x8192x64x64x8192xf16,64,8192,64,64,8192,f16,2340.0,4096.0,469.8768,True
77,llm,attention_64x8192x128x128x8192xf16,64,8192,128,128,8192,f16,4850.0,4096.0,453.4069,True
78,llm,attention_64x16384x64x64x16384xf16,64,16384,64,64,16384,f16,8900.0,8192.0,494.1625,True
79,llm,attention_64x16384x128x128x16384xf16,64,16384,128,128,16384,f16,17600.0,8192.0,499.778,True
80,llm,attention_96x1024x64x64x1024xf16,96,1024,64,64,1024,f16,135.0,512.0,190.8874,True
81,llm,attention_96x1024x128x128x1024xf16,96,1024,128,128,1024,f16,215.0,512.0,239.7191,True
82,llm,attention_96x2048x64x64x2048xf16,96,2048,64,64,2048,f16,309.0,1024.0,333.5897,True
83,llm,attention_96x2048x128x128x2048xf16,96,2048,128,128,2048,f16,605.0,1024.0,340.7577,True
84,llm,attention_96x4096x64x64x4096xf16,96,4096,64,64,4096,f16,976.0,2048.0,422.4558,True
85,llm,attention_96x4096x128x128x4096xf16,96,4096,128,128,4096,f16,1980.0,2048.0,416.4817,True
86,llm,attention_96x8192x64x64x8192xf16,96,8192,64,64,8192,f16,3570.0,4096.0,461.9797,True
87,llm,attention_96x8192x128x128x8192xf16,96,8192,128,128,8192,f16,7490.0,4096.0,440.3918,True
88,llm,attention_96x16384x64x64x16384xf16,96,16384,64,64,16384,f16,13300.0,8192.0,496.0203,True
89,llm,attention_96x16384x128x128x16384xf16,96,16384,128,128,16384,f16,26400.0,8192.0,499.778,True
90,llm,attention_128x1024x64x64x1024xf16,128,1024,64,64,1024,f16,137.0,512.0,250.801,True
91,llm,attention_128x1024x128x128x1024xf16,128,1024,128,128,1024,f16,224.0,512.0,306.7834,True
92,llm,attention_128x2048x64x64x2048xf16,128,2048,64,64,2048,f16,371.0,1024.0,370.4554,True
93,llm,attention_128x2048x128x128x2048xf16,128,2048,128,128,2048,f16,703.0,1024.0,391.007,True
94,llm,attention_128x4096x64x64x4096xf16,128,4096,64,64,4096,f16,1200.0,2048.0,458.1298,True
95,llm,attention_128x4096x128x128x4096xf16,128,4096,128,128,4096,f16,2570.0,2048.0,427.8255,True
96,llm,attention_128x8192x64x64x8192xf16,128,8192,64,64,8192,f16,4710.0,4096.0,466.8839,True
97,llm,attention_128x8192x128x128x8192xf16,128,8192,128,128,8192,f16,9040.0,4096.0,486.5096,True
98,llm,attention_128x16384x64x64x16384xf16,128,16384,64,64,16384,f16,16900.0,8192.0,520.4789,True
99,llm,attention_128x16384x128x128x16384xf16,128,16384,128,128,16384,f16,33700.0,8192.0,522.0233,True
100,llm,attention_192x1024x64x64x1024xf16,192,1024,64,64,1024,f16,183.0,512.0,281.6372,True
