index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
61,llm,attention_48x1024x128x128x1024xf16,48,1024,128,128,1024,f16,173.0,512.0,148.9584,True
62,llm,attention_48x2048x64x64x2048xf16,48,2048,64,64,2048,f16,227.0,1024.0,227.0467,True
63,llm,attention_48x2048x128x128x2048xf16,48,2048,128,128,2048,f16,451.0,1024.0,228.557,True
64,llm,attention_48x4096x64x64x4096xf16,48,4096,64,64,4096,f16,729.0,2048.0,282.7962,True
65,llm,attention_48x4096x128x128x4096xf16,48,4096,128,128,4096,f16,1300.0,2048.0,317.1668,True
66,llm,attention_48x8192x64x64x8192xf16,48,8192,64,64,8192,f16,2610.0,4096.0,315.9516,True
67,llm,attention_48x8192x128x128x8192xf16,48,8192,128,128,8192,f16,5450.0,4096.0,302.6179,True
68,llm,attention_48x16384x64x64x16384xf16,48,16384,64,64,16384,f16,9840.0,8192.0,335.217,True
69,llm,attention_48x16384x128x128x16384xf16,48,16384,128,128,16384,f16,19100.0,8192.0,345.3963,True
70,llm,attention_64x1024x64x64x1024xf16,64,1024,64,64,1024,f16,124.0,512.0,138.5473,True
71,llm,attention_64x1024x128x128x1024xf16,64,1024,128,128,1024,f16,174.0,512.0,197.4698,True
72,llm,attention_64x2048x64x64x2048xf16,64,2048,64,64,2048,f16,289.0,1024.0,237.7837,True
73,llm,attention_64x2048x128x128x2048xf16,64,2048,128,128,2048,f16,500.0,1024.0,274.8779,True
74,llm,attention_64x4096x64x64x4096xf16,64,4096,64,64,4096,f16,883.0,2048.0,311.3,True
75,llm,attention_64x4096x128x128x4096xf16,64,4096,128,128,4096,f16,1710.0,2048.0,321.4946,True
76,llm,attention_64x8192x64x64x8192xf16,64,8192,64,64,8192,f16,3370.0,4096.0,326.2646,True
77,llm,attention_64x8192x128x128x8192xf16,64,8192,128,128,8192,f16,6680.0,4096.0,329.1951,True
78,llm,attention_64x16384x64x64x16384xf16,64,16384,64,64,16384,f16,12700.0,8192.0,346.3029,True
79,llm,attention_64x16384x128x128x16384xf16,64,16384,128,128,16384,f16,25400.0,8192.0,346.3029,True
80,llm,attention_96x1024x64x64x1024xf16,96,1024,64,64,1024,f16,147.0,512.0,175.3048,True
81,llm,attention_96x1024x128x128x1024xf16,96,1024,128,128,1024,f16,264.0,512.0,195.2258,True
82,llm,attention_96x2048x64x64x2048xf16,96,2048,64,64,2048,f16,391.0,1024.0,263.6297,True
83,llm,attention_96x2048x128x128x2048xf16,96,2048,128,128,2048,f16,725.0,1024.0,284.3565,True
84,llm,attention_96x4096x64x64x4096xf16,96,4096,64,64,4096,f16,1310.0,2048.0,314.7457,True
85,llm,attention_96x4096x128x128x4096xf16,96,4096,128,128,4096,f16,2910.0,2048.0,283.3793,True
86,llm,attention_96x8192x64x64x8192xf16,96,8192,64,64,8192,f16,5010.0,4096.0,329.1951,True
87,llm,attention_96x8192x128x128x8192xf16,96,8192,128,128,8192,f16,10000.0,4096.0,329.8535,True
88,llm,attention_96x16384x64x64x16384xf16,96,16384,64,64,16384,f16,19100.0,8192.0,345.3963,True
89,llm,attention_96x16384x128x128x16384xf16,96,16384,128,128,16384,f16,37400.0,8192.0,352.7845,True
90,llm,attention_128x1024x64x64x1024xf16,128,1024,64,64,1024,f16,176.0,512.0,195.2258,True
91,llm,attention_128x1024x128x128x1024xf16,128,1024,128,128,1024,f16,297.0,512.0,231.3787,True
92,llm,attention_128x2048x64x64x2048xf16,128,2048,64,64,2048,f16,471.0,1024.0,291.8024,True
93,llm,attention_128x2048x128x128x2048xf16,128,2048,128,128,2048,f16,923.0,1024.0,297.8092,True
94,llm,attention_128x4096x64x64x4096xf16,128,4096,64,64,4096,f16,1700.0,2048.0,323.3858,True
95,llm,attention_128x4096x128x128x4096xf16,128,4096,128,128,4096,f16,3520.0,2048.0,312.3613,True
96,llm,attention_128x8192x64x64x8192xf16,128,8192,64,64,8192,f16,6880.0,4096.0,319.6255,True
97,llm,attention_128x8192x128x128x8192xf16,128,8192,128,128,8192,f16,13000.0,4096.0,338.3113,True
98,llm,attention_128x16384x64x64x16384xf16,128,16384,64,64,16384,f16,25200.0,8192.0,349.0513,True
99,llm,attention_128x16384x128x128x16384xf16,128,16384,128,128,16384,f16,49600.0,8192.0,354.6812,True
100,llm,attention_192x1024x64x64x1024xf16,192,1024,64,64,1024,f16,228.0,512.0,226.0509,True
101,llm,attention_192x1024x128x128x1024xf16,192,1024,128,128,1024,f16,410.0,512.0,251.4127,True
102,llm,attention_192x2048x64x64x2048xf16,192,2048,64,64,2048,f16,697.0,1024.0,295.7797,True
103,llm,attention_192x2048x128x128x2048xf16,192,2048,128,128,2048,f16,1530.0,1024.0,269.4881,True
104,llm,attention_192x4096x64x64x4096xf16,192,4096,64,64,4096,f16,2530.0,2048.0,325.9422,True
105,llm,attention_192x4096x128x128x4096xf16,192,4096,128,128,4096,f16,5490.0,2048.0,300.413,True
106,llm,attention_192x8192x64x64x8192xf16,192,8192,64,64,8192,f16,9690.0,4096.0,340.4061,True
107,llm,attention_192x8192x128x128x8192xf16,192,8192,128,128,8192,f16,19200.0,4096.0,343.5974,True
108,llm,attention_192x16384x64x64x16384xf16,192,16384,64,64,16384,f16,37700.0,8192.0,349.9772,True
109,llm,attention_192x16384x128x128x16384xf16,192,16384,128,128,16384,f16,73900.0,8192.0,357.0809,True
110,sdxl_unet,attention_1x4096x64x64x64xf16,1,4096,64,64,64,f16,55.0,63.0154,1.2202,True
111,sdxl_unet,attention_2x1024x64x64x64xf16,2,1024,64,64,64,f16,47.0,60.2353,0.7139,True
112,sdxl_unet,attention_4x4096x64x64x64xf16,4,4096,64,64,64,f16,54.0,63.0154,4.971,True
113,sdxl_unet,attention_8x1024x64x64x64xf16,8,1024,64,64,64,f16,51.0,60.2353,2.6317,True
114,sdxl_unet,attention_20x4096x64x64x4096xf16,20,4096,64,64,4096,f16,393.0,2048.0,218.5734,True
115,sdxl_unet,attention_20x4096x64x64x64xf16,20,4096,64,64,64,f16,64.0,63.0154,20.9715,True
116,sdxl_unet,attention_40x1024x64x64x1024xf16,40,1024,64,64,1024,f16,114.0,512.0,94.1879,True
117,sdxl_unet,attention_40x1024x64x64x64xf16,40,1024,64,64,64,f16,57.0,60.2353,11.7735,True
