index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
36,llama13bskinny,gemm_7680_8_5120_f16_f32_tB,ce1752a50ee751fa878420850ec0794c,7680,8,5120,f16,N,T,,83.0,7.9792,7.5801,True
37,llama13bskinny,gemm_7680_16_5120_f16_f32_tB,a0db887ebefc3fe802f9486bd56001f6,7680,16,5120,f16,N,T,,75.0,15.9171,16.7772,True
38,llama13bskinny,gemm_7680_32_5120_f16_f32_tB,ce7494830d2e145f52053645eb1bd38d,7680,32,5120,f16,N,T,,81.0,31.6701,31.0689,True
39,llama13bskinny,gemm_5120_2_2560_f16_f32_tB,91ffb5d880de51b1f10edfff8dd1c1f8,5120,2,2560,f16,N,T,,63.0,1.9977,0.8322,True
40,llama13bskinny,gemm_5120_4_2560_f16_f32_tB,f0a10bcf128671f40e2a2fe79d56607e,5120,4,2560,f16,N,T,,70.0,3.9906,1.498,True
41,llama13bskinny,gemm_5120_8_2560_f16_f32_tB,78f74457422b5ec35039e0a575566209,5120,8,2560,f16,N,T,,69.0,7.9627,3.0394,True
42,llama13bskinny,gemm_5120_16_2560_f16_f32_tB,19e1b4de201f6d15987b2590fe911953,5120,16,2560,f16,N,T,,60.0,15.8514,6.9905,True
43,llama13bskinny,gemm_5120_32_2560_f16_f32_tB,50c7a1c594e97d5a4eee33cf2a7ea6d0,5120,32,2560,f16,N,T,,64.0,31.411,13.1072,True
44,llama13bskinny,gemm_13824_2_5120_f16_f32_tB,3fb70a8685366b2795d6c7f7e83ce59e,13824,2,5120,f16,N,T,,109.0,1.9989,2.5974,True
45,llama13bskinny,gemm_13824_4_5120_f16_f32_tB,0464ae1960fcb04e26c219fa7dd8ea50,13824,4,5120,f16,N,T,,159.0,3.9957,3.5612,True
46,llama13bskinny,gemm_13824_8_5120_f16_f32_tB,46b0c1e7bd07f9c035fa8d58451b20fc,13824,8,5120,f16,N,T,,94.0,7.9829,12.0475,True
47,llama13bskinny,gemm_13824_16_5120_f16_f32_tB,f2c0328b628be3cd7d251cd20c3c369f,13824,16,5120,f16,N,T,,83.0,15.9318,27.2882,True
48,llama13bskinny,gemm_13824_32_5120_f16_f32_tB,ac448b506a6fa2a3080d63b6b885bf73,13824,32,5120,f16,N,T,,92.0,31.7283,49.2375,True
49,llama13bskinny,gemm_5120_2_6912_f16_f32_tB,adbe1bf358f62eb9936c52a1e88bcd33,5120,2,6912,f16,N,T,,79.0,1.9986,1.7919,True
50,llama13bskinny,gemm_5120_4_6912_f16_f32_tB,e957566666eebf95bf127301ca08fcb5,5120,4,6912,f16,N,T,,103.0,3.9946,2.7487,True
51,llama13bskinny,gemm_5120_8_6912_f16_f32_tB,1aa66bf8c992df216622bdd89006ed66,5120,8,6912,f16,N,T,,98.0,7.9783,5.7779,True
52,llama13bskinny,gemm_5120_16_6912_f16_f32_tB,8f65581b207b65e06b3cdf6bedf3f163,5120,16,6912,f16,N,T,,87.0,15.9134,13.0168,True
53,llama13bskinny,gemm_5120_32_6912_f16_f32_tB,480b09c6e6edb833200ad4776bb6db69,5120,32,6912,f16,N,T,,86.0,31.6556,26.3363,True
54,llama13bskinny,gemm_8000_2_5120_f16_f32_tB,0393038f8d95e70277bd3a8101d15d27,8000,2,5120,f16,N,T,,92.0,1.9987,1.7809,True
55,llama13bskinny,gemm_8000_4_5120_f16_f32_tB,1f1518f83789d1b13cf94838328b81e5,8000,4,5120,f16,N,T,,111.0,3.9949,2.9521,True
56,llama13bskinny,gemm_8000_8_5120_f16_f32_tB,f047f0a2a0a3ea1a15d9f683bb39da62,8000,8,5120,f16,N,T,,90.0,7.9796,7.2818,True
57,llama13bskinny,gemm_8000_16_5120_f16_f32_tB,961ff275061665a14ebc713b127d536e,8000,16,5120,f16,N,T,,73.0,15.9184,17.9551,True
58,llama13bskinny,gemm_8000_32_5120_f16_f32_tB,4d7da877dbc6c484aa940d79137950c7,8000,32,5120,f16,N,T,,83.0,31.6753,31.5836,True
59,llama13bskinny,gemm_3840_2_5120_f16_f32_tB,09945fc0e71cd812d6dfc1a344db857a,3840,2,5120,f16,N,T,,67.0,1.9982,1.1738,True
60,llama13bskinny,gemm_3840_4_5120_f16_f32_tB,5085ddf5ebd6cc44873cdae2d151dbf4,3840,4,5120,f16,N,T,,83.0,3.9927,1.895,True
61,llama13bskinny,gemm_3840_8_5120_f16_f32_tB,a156866eaefd0ed1042837baea6e60a7,3840,8,5120,f16,N,T,,90.0,7.9709,3.4953,True
62,llama13bskinny,gemm_3840_16_5120_f16_f32_tB,971e890b52ca8ea26d70bb72f57daa87,3840,16,5120,f16,N,T,,79.0,15.8842,7.9639,True
63,llama13bskinny,gemm_3840_32_5120_f16_f32_tB,7c6456abc65d0185bef894beedac4d15,3840,32,5120,f16,N,T,,76.0,31.54,16.5565,True
64,llama13bskinny,gemm_5120_2_1280_f16_f32_tB,1c6d907d3d0ae5397d5405c0017bef53,5120,2,1280,f16,N,T,,62.0,1.9961,0.4228,True
65,llama13bskinny,gemm_5120_4_1280_f16_f32_tB,5b70a306b6a441fc69db04c62649f0d9,5120,4,1280,f16,N,T,,63.0,3.9844,0.8322,True
66,llama13bskinny,gemm_5120_8_1280_f16_f32_tB,2ce808539b53309fbcbc855abb5bdc46,5120,8,1280,f16,N,T,,77.0,7.938,1.3618,True
