index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
37,llama13bskinny,gemm_13824_8_5120_f16_f32_tB,2d330339c3a838cca30f8a41d3a9fa1d,13824,8,5120,f16,N,T,,152.0,7.9829,7.4504,True
38,llama13bskinny,gemm_13824_16_5120_f16_f32_tB,68f60dd7b90aaa77b100bd6c7db9e7ed,13824,16,5120,f16,N,T,,151.0,15.9318,14.9995,True
39,llama13bskinny,gemm_13824_32_5120_f16_f32_tB,8e5541c8785456700a8e2c35ab013e9b,13824,32,5120,f16,N,T,,156.0,31.7283,29.0375,True
40,llama13bskinny,gemm_5120_2_6912_f16_f32_tB,f156883a14e52796eba8b6a6c2bfaa1f,5120,2,6912,f16,N,T,,179.0,1.9986,0.7908,True
41,llama13bskinny,gemm_5120_4_6912_f16_f32_tB,ef65d90ce218046483c70d4307e80c42,5120,4,6912,f16,N,T,,181.0,3.9946,1.5642,True
42,llama13bskinny,gemm_5120_8_6912_f16_f32_tB,e0faa3e42ecfcf9a7298e9c4fda29862,5120,8,6912,f16,N,T,,184.0,7.9783,3.0773,True
43,llama13bskinny,gemm_5120_16_6912_f16_f32_tB,88ea408807da7cc921632c31cbbd903a,5120,16,6912,f16,N,T,,185.0,15.9134,6.1214,True
44,llama13bskinny,gemm_5120_32_6912_f16_f32_tB,030e496c48a8ee53c2547c43da3e0934,5120,32,6912,f16,N,T,,194.0,31.6556,11.6749,True
45,llama13bskinny,gemm_8000_2_5120_f16_f32_tB,2ecc7b354c0bb766c7246975f0645e31,8000,2,5120,f16,N,T,,147.0,1.9987,1.1146,True
46,llama13bskinny,gemm_8000_4_5120_f16_f32_tB,df2f2c50ac6443fe89cffee3e8f0bd92,8000,4,5120,f16,N,T,,153.0,3.9949,2.1417,True
47,llama13bskinny,gemm_8000_8_5120_f16_f32_tB,2081abe3e5f49d70399355ee0e94bcac,8000,8,5120,f16,N,T,,149.0,7.9796,4.3984,True
48,llama13bskinny,gemm_8000_16_5120_f16_f32_tB,4fcddbf241624fafcdba55d994fe081b,8000,16,5120,f16,N,T,,151.0,15.9184,8.6803,True
49,llama13bskinny,gemm_8000_32_5120_f16_f32_tB,512f949eb1ea5534ac873631eec5854e,8000,32,5120,f16,N,T,,155.0,31.6753,16.9125,True
50,llama13bskinny,gemm_3840_2_5120_f16_f32_tB,91567e0d1bcc02effc820d4864dcd311,3840,2,5120,f16,N,T,,145.0,1.9982,0.5424,True
51,llama13bskinny,gemm_3840_4_5120_f16_f32_tB,04ddf0c73043c839a6a2449ead436007,3840,4,5120,f16,N,T,,149.0,3.9927,1.0556,True
52,llama13bskinny,gemm_3840_8_5120_f16_f32_tB,e00a7042f35cf27b87e83ad7ad36942c,3840,8,5120,f16,N,T,,150.0,7.9709,2.0972,True
53,llama13bskinny,gemm_3840_16_5120_f16_f32_tB,f56708ecf18cc451a1a0ba872e4567a9,3840,16,5120,f16,N,T,,152.0,15.8842,4.1391,True
54,llama13bskinny,gemm_3840_32_5120_f16_f32_tB,f59cf53ba94268c0faecb9f6a87a5c44,3840,32,5120,f16,N,T,,155.0,31.54,8.118,True
55,llama13bskinny,gemm_6912_2_5120_f16_f32_tB,9f3e965f9f2729e2684b4184cf91487f,6912,2,5120,f16,N,T,,156.0,1.9986,0.9074,True
