index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
186,llm,attention_bmnk1k2_64x8192x64x64x8192xf8E4M3FNUZ,64,8192,64,64,8192,f8E4M3FNUZ,3870.0,8192.0,284.1115,True
187,llm,attention_bmnk1k2_64x8192x128x128x8192xf8E4M3FNUZ,64,8192,128,128,8192,f8E4M3FNUZ,11700.0,8192.0,187.9507,True
188,llm,attention_bmnk1k2_64x16384x64x64x16384xf8E4M3FNUZ,64,16384,64,64,16384,f8E4M3FNUZ,15200.0,16384.0,289.3452,True
189,llm,attention_bmnk1k2_64x16384x128x128x16384xf8E4M3FNUZ,64,16384,128,128,16384,f8E4M3FNUZ,46900.0,16384.0,187.55,True
190,llm,attention_bmnk1k2_96x1024x64x64x1024xf8E4M3FNUZ,96,1024,64,64,1024,f8E4M3FNUZ,169.0,1024.0,152.484,True
191,llm,attention_bmnk1k2_96x1024x128x128x1024xf8E4M3FNUZ,96,1024,128,128,1024,f8E4M3FNUZ,365.0,1024.0,141.2044,True
192,llm,attention_bmnk1k2_96x2048x64x64x2048xf8E4M3FNUZ,96,2048,64,64,2048,f8E4M3FNUZ,446.0,2048.0,231.1193,True
193,llm,attention_bmnk1k2_96x2048x128x128x2048xf8E4M3FNUZ,96,2048,128,128,2048,f8E4M3FNUZ,1200.0,2048.0,171.7987,True
194,llm,attention_bmnk1k2_96x4096x64x64x4096xf8E4M3FNUZ,96,4096,64,64,4096,f8E4M3FNUZ,1510.0,4096.0,273.0575,True
195,llm,attention_bmnk1k2_96x4096x128x128x4096xf8E4M3FNUZ,96,4096,128,128,4096,f8E4M3FNUZ,4330.0,4096.0,190.4466,True
196,llm,attention_bmnk1k2_96x8192x64x64x8192xf8E4M3FNUZ,96,8192,64,64,8192,f8E4M3FNUZ,5690.0,8192.0,289.8537,True
197,llm,attention_bmnk1k2_96x8192x128x128x8192xf8E4M3FNUZ,96,8192,128,128,8192,f8E4M3FNUZ,17600.0,8192.0,187.4168,True
198,llm,attention_bmnk1k2_96x16384x64x64x16384xf8E4M3FNUZ,96,16384,64,64,16384,f8E4M3FNUZ,22600.0,16384.0,291.9057,True
199,llm,attention_bmnk1k2_96x16384x128x128x16384xf8E4M3FNUZ,96,16384,128,128,16384,f8E4M3FNUZ,70300.0,16384.0,187.6834,True
200,llm,attention_bmnk1k2_128x1024x64x64x1024xf8E4M3FNUZ,128,1024,64,64,1024,f8E4M3FNUZ,189.0,1024.0,181.7976,True
201,llm,attention_bmnk1k2_128x1024x128x128x1024xf8E4M3FNUZ,128,1024,128,128,1024,f8E4M3FNUZ,463.0,1024.0,148.4222,True
202,llm,attention_bmnk1k2_128x2048x64x64x2048xf8E4M3FNUZ,128,2048,64,64,2048,f8E4M3FNUZ,560.0,2048.0,245.4267,True
203,llm,attention_bmnk1k2_128x2048x128x128x2048xf8E4M3FNUZ,128,2048,128,128,2048,f8E4M3FNUZ,1530.0,2048.0,179.6588,True
204,llm,attention_bmnk1k2_128x4096x64x64x4096xf8E4M3FNUZ,128,4096,64,64,4096,f8E4M3FNUZ,2030.0,4096.0,270.8157,True
205,llm,attention_bmnk1k2_128x4096x128x128x4096xf8E4M3FNUZ,128,4096,128,128,4096,f8E4M3FNUZ,5700.0,4096.0,192.8968,True
206,llm,attention_bmnk1k2_128x8192x64x64x8192xf8E4M3FNUZ,128,8192,64,64,8192,f8E4M3FNUZ,7570.0,8192.0,290.4918,True
207,llm,attention_bmnk1k2_128x8192x128x128x8192xf8E4M3FNUZ,128,8192,128,128,8192,f8E4M3FNUZ,23300.0,8192.0,188.7574,True
208,llm,attention_bmnk1k2_128x16384x64x64x16384xf8E4M3FNUZ,128,16384,64,64,16384,f8E4M3FNUZ,30600.0,16384.0,287.454,True
209,llm,attention_bmnk1k2_128x16384x128x128x16384xf8E4M3FNUZ,128,16384,128,128,16384,f8E4M3FNUZ,93500.0,16384.0,188.1517,True
210,llm,attention_bmnk1k2_192x1024x64x64x1024xf8E4M3FNUZ,192,1024,64,64,1024,f8E4M3FNUZ,258.0,1024.0,199.7659,True
211,llm,attention_bmnk1k2_192x1024x128x128x1024xf8E4M3FNUZ,192,1024,128,128,1024,f8E4M3FNUZ,644.0,1024.0,160.0609,True
212,llm,attention_bmnk1k2_192x2048x64x64x2048xf8E4M3FNUZ,192,2048,64,64,2048,f8E4M3FNUZ,798.0,2048.0,258.3439,True
213,llm,attention_bmnk1k2_192x2048x128x128x2048xf8E4M3FNUZ,192,2048,128,128,2048,f8E4M3FNUZ,2300.0,2048.0,179.2682,True
214,llm,attention_bmnk1k2_192x4096x64x64x4096xf8E4M3FNUZ,192,4096,64,64,4096,f8E4M3FNUZ,2900.0,4096.0,284.3565,True
215,llm,attention_bmnk1k2_192x4096x128x128x4096xf8E4M3FNUZ,192,4096,128,128,4096,f8E4M3FNUZ,8510.0,4096.0,193.8035,True
216,llm,attention_bmnk1k2_192x8192x64x64x8192xf8E4M3FNUZ,192,8192,64,64,8192,f8E4M3FNUZ,11200.0,8192.0,294.512,True
217,llm,attention_bmnk1k2_192x8192x128x128x8192xf8E4M3FNUZ,192,8192,128,128,8192,f8E4M3FNUZ,34700.0,8192.0,190.1173,True
218,llm,attention_bmnk1k2_192x16384x64x64x16384xf8E4M3FNUZ,192,16384,64,64,16384,f8E4M3FNUZ,45800.0,16384.0,288.0816,True
219,llm,attention_bmnk1k2_192x16384x128x128x16384xf8E4M3FNUZ,192,16384,128,128,16384,f8E4M3FNUZ,141000.0,16384.0,187.1509,True
220,sdxl_unet,attention_bmnk1k2_1x4096x64x64x64xf16,1,4096,64,64,64,f16,61.0,63.0154,1.1001,True
221,sdxl_unet,attention_bmnk1k2_2x1024x64x64x64xf16,2,1024,64,64,64,f16,63.0,60.2353,0.5326,True
222,sdxl_unet,attention_bmnk1k2_4x4096x64x64x64xf16,4,4096,64,64,64,f16,61.0,63.0154,4.4006,True
223,sdxl_unet,attention_bmnk1k2_8x1024x64x64x64xf16,8,1024,64,64,64,f16,58.0,60.2353,2.3141,True
224,sdxl_unet,attention_bmnk1k2_20x4096x64x64x4096xf16,20,4096,64,64,4096,f16,287.0,2048.0,299.3009,True
225,sdxl_unet,attention_bmnk1k2_20x4096x64x64x64xf16,20,4096,64,64,64,f16,68.0,63.0154,19.7379,True
226,sdxl_unet,attention_bmnk1k2_40x1024x64x64x1024xf16,40,1024,64,64,1024,f16,99.0,512.0,108.4588,True
227,sdxl_unet,attention_bmnk1k2_40x1024x64x64x64xf16,40,1024,64,64,64,f16,68.0,60.2353,9.869,True
228,sdxl_unet,attention_bmnk1k2_1x4096x64x64x64xf8E4M3FNUZ,1,4096,64,64,64,f8E4M3FNUZ,57.0,126.0308,1.1773,True
229,sdxl_unet,attention_bmnk1k2_2x1024x64x64x64xf8E4M3FNUZ,2,1024,64,64,64,f8E4M3FNUZ,68.0,120.4706,0.4934,True
230,sdxl_unet,attention_bmnk1k2_4x4096x64x64x64xf8E4M3FNUZ,4,4096,64,64,64,f8E4M3FNUZ,61.0,126.0308,4.4006,True
231,sdxl_unet,attention_bmnk1k2_8x1024x64x64x64xf8E4M3FNUZ,8,1024,64,64,64,f8E4M3FNUZ,67.0,120.4706,2.0032,True
232,sdxl_unet,attention_bmnk1k2_20x4096x64x64x4096xf8E4M3FNUZ,20,4096,64,64,4096,f8E4M3FNUZ,435.0,4096.0,197.4698,True
233,sdxl_unet,attention_bmnk1k2_20x4096x64x64x64xf8E4M3FNUZ,20,4096,64,64,64,f8E4M3FNUZ,60.0,126.0308,22.3696,True
234,sdxl_unet,attention_bmnk1k2_40x1024x64x64x1024xf8E4M3FNUZ,40,1024,64,64,1024,f8E4M3FNUZ,118.0,1024.0,90.9951,True
235,sdxl_unet,attention_bmnk1k2_40x1024x64x64x64xf8E4M3FNUZ,40,1024,64,64,64,f8E4M3FNUZ,65.0,120.4706,10.3244,True
236,bert,attention_bmnk1k2_12x384x64x64x384xf16,12,384,64,64,384,f16,63.0,192.0,7.1902,True
237,bert,attention_bmnk1k2_768x4096x64x64x64xf16,768,4096,64,64,64,f16,332.0,63.0154,155.2398,True
238,bert,attention_bmnk1k2_12x384x64x64x384xf8E4M3FNUZ,12,384,64,64,384,f8E4M3FNUZ,63.0,384.0,7.1902,True
239,bert,attention_bmnk1k2_768x4096x64x64x64xf8E4M3FNUZ,768,4096,64,64,64,f8E4M3FNUZ,309.0,126.0308,166.7948,True
240,llama3_405b,attention_bmnk1k2_512x1024x128x128x1024xf16,512,1024,128,128,1024,f16,695.0,512.0,395.5078,True
241,llama3_405b,attention_bmnk1k2_512x2048x128x128x2048xf16,512,2048,128,128,2048,f16,2330.0,1024.0,471.8934,True
242,llama3_405b,attention_bmnk1k2_512x3072x128x128x3072xf16,512,3072,128,128,3072,f16,4900.0,1536.0,504.8778,True
243,llama3_405b,attention_bmnk1k2_512x4096x128x128x4096xf16,512,4096,128,128,4096,f16,8410.0,2048.0,522.9544,True
244,llama3_405b,attention_bmnk1k2_512x5120x128x128x5120xf16,512,5120,128,128,5120,f16,13100.0,2560.0,524.5762,True
245,llama3_405b,attention_bmnk1k2_512x6144x128x128x6144xf16,512,6144,128,128,6144,f16,18600.0,3072.0,532.0218,True
246,llama3_405b,attention_bmnk1k2_512x7168x128x128x7168xf16,512,7168,128,128,7168,f16,25400.0,3584.0,530.2763,True
247,llama3_405b,attention_bmnk1k2_512x8192x128x128x8192xf16,512,8192,128,128,8192,f16,32700.0,4096.0,537.9873,True
248,llama3_405b,attention_bmnk1k2_512x1024x128x128x1024xf8E4M3FNUZ,512,1024,128,128,1024,f8E4M3FNUZ,1570.0,1024.0,175.0815,True
249,llama3_405b,attention_bmnk1k2_512x2048x128x128x2048xf8E4M3FNUZ,512,2048,128,128,2048,f8E4M3FNUZ,5920.0,2048.0,185.7283,True
250,llama3_405b,attention_bmnk1k2_512x3072x128x128x3072xf8E4M3FNUZ,512,3072,128,128,3072,f8E4M3FNUZ,12700.0,3072.0,194.7954,True
251,llama3_405b,attention_bmnk1k2_512x4096x128x128x4096xf8E4M3FNUZ,512,4096,128,128,4096,f8E4M3FNUZ,22500.0,4096.0,195.4687,True
252,llama3_405b,attention_bmnk1k2_512x5120x128x128x5120xf8E4M3FNUZ,512,5120,128,128,5120,f8E4M3FNUZ,35500.0,5120.0,193.576,True
253,llama3_405b,attention_bmnk1k2_512x6144x128x128x6144xf8E4M3FNUZ,512,6144,128,128,6144,f8E4M3FNUZ,51100.0,6144.0,193.6518,True
254,llama3_405b,attention_bmnk1k2_512x7168x128x128x7168xf8E4M3FNUZ,512,7168,128,128,7168,f8E4M3FNUZ,70700.0,7168.0,190.5094,True
255,llama3_405b,attention_bmnk1k2_512x8192x128x128x8192xf8E4M3FNUZ,512,8192,128,128,8192,f8E4M3FNUZ,93100.0,8192.0,188.9601,True
